"","year","age","variable","value"
"1","2010","Total","w1","1 217"
"2","2011","Total","w1","1 331"
"3","2012","Total","w1","1 260"
"4","2013","Total","w1","1 638"
"5","2014","Total","w1","1 351"
"6","2015","Total","w1","1 655"
"7","2016","Total","w1","1 232"
"8","2017","Total","w1","1 511"
"9","2018","Total","w1","1 595"
"10","2019","Total","w1","1 485"
"11","2020","Total","w1","1 480"
"12","2010","70 years old and over","w1","861"
"13","2011","70 years old and over","w1","968"
"14","2012","70 years old and over","w1","913"
"15","2013","70 years old and over","w1","1 252"
"16","2014","70 years old and over","w1","989"
"17","2015","70 years old and over","w1","1 257"
"18","2016","70 years old and over","w1","895"
"19","2017","70 years old and over","w1","1 137"
"20","2018","70 years old and over","w1","1 220"
"21","2019","70 years old and over","w1","1 125"
"22","2020","70 years old and over","w1","1 135"
"23","2010","50-69 years old","w1","277"
"24","2011","50-69 years old","w1","290"
"25","2012","50-69 years old","w1","274"
"26","2013","50-69 years old","w1","297"
"27","2014","50-69 years old","w1","292"
"28","2015","50-69 years old","w1","332"
"29","2016","50-69 years old","w1","275"
"30","2017","50-69 years old","w1","306"
"31","2018","50-69 years old","w1","310"
"32","2019","50-69 years old","w1","305"
"33","2020","50-69 years old","w1","280"
"34","2010","0-49 years old","w1","79"
"35","2011","0-49 years old","w1","73"
"36","2012","0-49 years old","w1","73"
"37","2013","0-49 years old","w1","89"
"38","2014","0-49 years old","w1","70"
"39","2015","0-49 years old","w1","66"
"40","2016","0-49 years old","w1","62"
"41","2017","0-49 years old","w1","68"
"42","2018","0-49 years old","w1","70"
"43","2019","0-49 years old","w1","55"
"44","2020","0-49 years old","w1","65"
"45","2010","Total","w2","1 197"
"46","2011","Total","w2","1 321"
"47","2012","Total","w2","1 287"
"48","2013","Total","w2","1 596"
"49","2014","Total","w2","1 371"
"50","2015","Total","w2","1 566"
"51","2016","Total","w2","1 303"
"52","2017","Total","w2","1 434"
"53","2018","Total","w2","1 675"
"54","2019","Total","w2","1 445"
